name,decimal,state,year
hci,0.2,California,1992
hck,0.03,Tennessee,1911
hcm,0.68,Alaska,2000
hcn,0.13,Texas,1905
hco,0.48,Washington,1943
hcp,0.63,Idaho,1918
hcs,0.52,Missouri,1904
hcu,0.97,Illinois,1932
hcv,0.69,Ohio,1903
hda,0.64,Iowa,1907
hdc,0.94,Missouri,1949
hde,0.78,North Carolina,1906
hdh,1.0,Oregon,1924
hdl,0.6,Arkansas,1944
hds,0.32,Washington,1947
hdw,0.66,Washington,1987
hdx,0.73,Maryland,1985
hdy,0.8,Michigan,1998
hee,0.63,New Hampshire,1965
heg,0.25,Kansas,1921
hek,0.92,Georgia,1923
hen,0.42,Ohio,1922
het,0.51,Nevada,1995
hey,0.25,California,2004
hfc,0.73,Idaho,1948
hfe,0.67,Colorado,1954
hfg,0.87,Oregon,1970
hfk,0.2,Virginia,2019
hfn,0.2,Maryland,1982
hfu,0.55,Louisiana,1917
hfv,0.55,Maine,1946
hge,0.62,California,1917
hgg,0.57,Arkansas,1911
hgh,0.85,Kansas,1958
hgi,0.24,Maine,2010
hgm,0.3,Hawaii,1995
hgn,0.72,New Hampshire,1985
hgp,0.72,Oregon,1933
hgq,0.9,Arizona,2005
hgt,0.96,New Mexico,2018
hgy,0.37,Mississippi,1986
hhc,0.83,Kansas,1941
hhe,0.65,Pennsylvania,2014
hhh,0.47,Indiana,2004
hhi,0.08,Connecticut,1991
hhl,0.3,Colorado,2016
hho,0.35,Missouri,1935
hhr,0.78,South Dakota,1960
hhs,0.31,Indiana,1975
hhu,0.05,Indiana,2016
hhx,0.02,South Carolina,1943
hhy,0.87,Arizona,1950
hic,0.04,Rhode Island,2019
hig,0.31,South Carolina,1912
hii,0.38,Texas,1911
hik,0.35,Tennessee,1969
hil,0.17,Utah,1974
hin,0.38,Hawaii,2000
hiq,0.49,Idaho,2019
hit,0.18,Ohio,1906
hiw,0.82,North Dakota,1982
hiy,0.41,Florida,1907
hjb,0.64,Nebraska,1935
hjc,0.73,Missouri,2000
hjh,0.01,South Dakota,1946
hjj,0.23,Mississippi,1974
hjn,0.64,Maryland,1964
hjp,0.56,Oregon,1968
hjx,0.78,California,1981
hkd,0.15,New Mexico,1902
hkf,0.14,Hawaii,1982
hkg,0.95,Florida,1971
hkh,0.51,Alabama,1974
hkj,0.15,Nevada,2005
hkk,0.21,Alabama,1909
hkn,0.3,New Jersey,1905
hkp,0.65,Massachusetts,1978
hkw,0.63,Wisconsin,1904
hky,0.85,Louisiana,1905
hla,0.71,Pennsylvania,2013
hlb,0.21,New Mexico,1939
hle,0.35,Mississippi,2003
hlf,0.81,Ohio,1949
hlh,0.7,South Dakota,1954
hlj,0.91,Maryland,1986
hlk,0.31,Alabama,1996
hln,0.81,Georgia,1959
hlr,0.04,Arkansas,1930
hlu,0.6,Alaska,1946
hlv,0.15,Mississippi,2022
hlw,0.37,Tennessee,1927
hly,0.31,New Mexico,1982
hma,0.87,Rhode Island,1928
hmb,0.68,Montana,1906
hmh,0.88,Missouri,1903
hmk,0.75,Tennessee,1934
hml,0.44,South Carolina,1901
hmp,0.01,Michigan,1967
hms,0.24,Wisconsin,1959
hmw,0.42,Georgia,2005
hmx,0.69,Maryland,1970
hna,0.17,South Carolina,1986
hnc,0.48,Pennsylvania,1986
hnd,0.88,Mississippi,1945
hno,0.03,Tennessee,1974
hnp,0.64,Vermont,2003
hnq,0.83,Mississippi,2003
hnt,0.9,Montana,1930
hnv,0.88,Delaware,1981
hny,1.0,Wyoming,1978
hnz,0.04,Kentucky,1985
hoc,0.14,Pennsylvania,2021
hod,0.67,Kentucky,1956
hoe,0.81,Maryland,2013
hoi,0.92,Missouri,1929
hos,0.43,New York,2021
hot,0.07,Minnesota,1904
hov,0.69,Arkansas,1994
how,0.37,Kentucky,1985
hpc,0.79,Iowa,1972
hpg,0.27,Hawaii,1937
hph,0.99,Maine,1940
hpk,0.95,Delaware,1955
hpt,0.61,West Virginia,1935
hpw,0.27,Rhode Island,2018
hqe,0.55,Montana,2009
hqg,0.36,Virginia,1997
hqi,0.96,Pennsylvania,1959
hqj,0.11,Indiana,1979
hqk,0.53,Nebraska,1987
hql,0.99,Illinois,1988
hqm,0.76,Alabama,1956
hqt,0.96,Delaware,1917
hqv,0.18,Nevada,1981
hqw,0.89,Nebraska,1997
hqx,0.86,New Hampshire,1931
hqy,0.96,Idaho,1912
hrd,0.53,Louisiana,2002
hre,0.99,Wisconsin,2013
hrf,0.13,Hawaii,1932
hrh,0.03,Wyoming,1998
hrl,0.64,Pennsylvania,1940
hrm,0.57,Louisiana,1978
hro,0.7,Oklahoma,1994
hrp,0.72,Virginia,2000
hrr,0.69,New York,1932
hrt,0.23,Minnesota,1966
hrw,0.73,Iowa,1995
hrx,0.62,Alabama,1929
hry,0.69,Indiana,1911
hsb,0.51,Montana,1904
hsc,0.31,Maine,1910
hsd,0.99,North Carolina,1998
hsg,0.17,Iowa,1928
hsi,0.8,West Virginia,1929
hsx,0.42,Louisiana,1941
hsy,0.25,Massachusetts,1913
htd,0.88,Washington,1983
htf,0.99,Minnesota,1969
hth,0.3,Wyoming,2000
hti,0.74,Iowa,1904
htl,0.77,New Jersey,1941
htm,0.22,Ohio,1951
htr,0.12,Massachusetts,1967
hts,0.05,New Mexico,2010
htv,0.8,Massachusetts,1987
hud,0.0,Indiana,1956
huf,0.04,Wisconsin,2004
hug,0.73,Nevada,1941
hui,0.98,Minnesota,1934
huj,0.42,Wyoming,2011
hum,0.32,Arizona,2008
hun,0.39,West Virginia,1902
hup,0.58,West Virginia,1956
huq,0.48,Maryland,1946
hur,0.52,Georgia,2002
huu,0.25,Kentucky,2000
huv,0.52,Illinois,1936
hux,0.83,Colorado,1911
hvb,0.93,Colorado,1995
hvf,0.91,Nebraska,1913
hvi,0.26,North Dakota,1956
hvn,1.0,Utah,1948
hvq,0.16,Vermont,1951
hvr,0.65,Kentucky,1936
hvs,0.61,Hawaii,2006
hvv,0.13,Alabama,1997
hvx,0.16,Louisiana,2021
hwa,0.53,Nebraska,1975
hwb,0.55,Alabama,1942
hwc,0.47,North Dakota,1985
hwg,0.12,Louisiana,2023
hwk,0.72,Arkansas,1921
hwn,0.94,Louisiana,1913
hwo,0.87,North Carolina,1937
hwr,0.19,Indiana,1969
hws,0.68,Connecticut,2017
hwt,1.0,South Dakota,1933
hwu,0.66,Utah,1985
hwv,0.74,West Virginia,1956
hxa,0.83,North Carolina,1967
hxh,0.27,North Dakota,1934
hxj,0.35,Illinois,1939
hxl,0.73,Idaho,2014
hxm,0.53,Florida,2008
hxu,0.45,Idaho,1961
hxv,0.62,Arizona,2020
hxy,0.63,New Hampshire,1958
hxz,0.16,Georgia,2011
hya,0.82,South Carolina,1950
hyf,0.98,Wyoming,1960
hyh,0.01,Oklahoma,1916
hyi,0.0,Oregon,1975
hyk,0.49,Virginia,1950
hyl,0.5,Indiana,1921
hym,0.38,Alabama,1944
hyq,0.45,Arizona,1998
hys,0.52,Kansas,1940
hyu,0.1,Iowa,1933
hyv,0.26,Rhode Island,1964
hyw,0.94,Delaware,1968
hyx,0.67,Alaska,1916
hzb,0.95,New Hampshire,1965
hzc,0.26,Michigan,1992
hzg,0.54,Nevada,1948
hzk,0.44,Illinois,1969
hzo,0.87,Minnesota,1991
hzq,0.93,Michigan,1950
hzu,0.49,Georgia,1998
hzx,0.01,Kansas,2010
hzz,0.84,Colorado,1980
iaa,0.37,Connecticut,2001
iae,0.8,South Dakota,1997
iah,0.46,Kansas,1960
ial,0.41,Indiana,1937
iam,0.37,Connecticut,1918
iao,0.19,Minnesota,2012
iat,0.49,Maryland,2005
iaw,0.05,Massachusetts,2015
iax,0.77,South Carolina,1941
iba,0.89,Montana,2001
ibc,0.14,Oregon,2013
ibd,0.99,New Hampshire,2023
ibl,0.84,Rhode Island,1915
ibn,0.85,Colorado,1942
ibq,0.05,Nevada,1980
ibs,0.62,Texas,1940
ibx,0.62,Minnesota,1947
ibz,0.58,Nevada,2016
ice,0.83,Louisiana,2022
icg,0.63,Delaware,1968
ici,0.93,Hawaii,1930
icj,0.87,Oklahoma,1933
icl,0.2,Indiana,1975
icn,0.65,Kentucky,2013
icq,0.0,Delaware,1949
icr,0.75,Nebraska,1954
ics,0.2,Iowa,1988
icu,0.62,Colorado,1936
icw,0.45,Illinois,1902
idd,0.64,South Dakota,1942
ide,0.63,Massachusetts,1965
idg,0.41,New York,1960
idi,0.95,Rhode Island,1938
ied,0.53,Alabama,1920
ieg,0.05,South Dakota,2000
ieh,0.6,Idaho,1935
ieo,0.41,Texas,1998
ier,0.42,Oregon,1958
ies,1.0,Iowa,1929
iex,0.54,Minnesota,1976
ifc,0.8,Colorado,2000
ife,0.4,Louisiana,2009
ifj,0.17,Oregon,1971
ifk,0.78,Oklahoma,1978
ifn,0.8,Vermont,1968
ifw,0.85,Georgia,1973
ifz,0.75,Tennessee,1987
igd,0.4,Iowa,2009
igg,0.98,Vermont,1942
igh,0.92,New York,1986
igl,0.64,Connecticut,1936
ign,0.81,West Virginia,2001
igr,0.18,Missouri,1987
igs,0.65,Ohio,1909
igv,0.14,Maryland,1982
igz,0.58,Pennsylvania,1953
ihi,0.54,South Carolina,1909
ihl,0.87,Massachusetts,1906
ihm,0.33,Michigan,2014
iho,0.81,New York,1959
ihp,0.51,New Mexico,1964
ihr,0.82,Alaska,1956
ihu,0.31,North Carolina,2020
ihv,0.34,Vermont,1972
ihw,0.18,Idaho,1984
ihy,0.41,New Hampshire,1999
iia,0.95,Wyoming,2000
iic,0.71,Utah,2006
iid,0.6,California,1905
iif,0.62,Minnesota,1961
iih,0.28,Alaska,1996
iii,0.9,Massachusetts,1978
iij,1.0,Connecticut,1993
iil,0.93,Utah,2021
iim,0.78,Maine,1957
iir,0.96,Connecticut,1989
iix,0.89,North Dakota,1941
iiy,0.67,Maine,1988
ijb,0.5,New Hampshire,2015
ijc,0.92,New York,2008
ije,0.09,Florida,1983
ijh,0.41,Michigan,1943
iji,0.48,Delaware,1969
ijj,0.12,Nebraska,1923
ijo,0.07,New Mexico,1982
ijp,0.92,New Jersey,1975
iju,0.85,Iowa,2000
ijv,0.69,Maryland,2012
ijx,0.87,California,1911
ijz,0.96,Oregon,1948
ikd,0.51,Montana,2014
ike,0.95,Florida,1954
ikf,0.79,North Carolina,1916
ikl,1.0,Hawaii,2003
ikn,0.29,South Dakota,1957
iku,0.8,Mississippi,1971
ikv,0.64,Pennsylvania,2015
ikw,0.75,Montana,1921
ikx,0.09,Arizona,1958
ilb,0.84,Kentucky,1979
ilg,0.16,Nevada,1917
iln,0.32,Rhode Island,1929
ilq,0.18,Indiana,1958
ilr,0.39,West Virginia,1965
ilt,0.83,Maryland,1955
imo,0.34,New Hampshire,1905
imp,0.3,Louisiana,1978
imr,0.61,Alaska,1910
ims,0.1,South Dakota,1957
imt,0.82,Kansas,1968
imu,0.36,Connecticut,1928
imv,0.76,South Dakota,1951
imx,0.58,Colorado,1971
imy,0.11,Delaware,2018
imz,0.78,Nebraska,1963
ina,0.77,Nevada,1939
inc,0.75,Georgia,1949
ind,0.25,Connecticut,1915
ing,0.32,Rhode Island,1922
inj,0.14,South Dakota,1928
inl,0.18,Louisiana,1943
inm,0.36,Pennsylvania,2006
ino,0.21,Hawaii,1931
inu,0.97,West Virginia,1959
inv,0.5,Idaho,1963
inw,0.03,Wisconsin,1928
iny,0.68,South Carolina,1930
inz,0.75,Minnesota,1974
ioa,0.43,Kansas,1936
iob,0.79,Connecticut,1901
ioc,1.0,Nevada,1930
iog,0.46,Georgia,1986
ioi,0.31,Nevada,1974
iom,0.66,New York,1951
ion,0.95,Utah,2018
ios,0.88,New York,1989
iou,0.43,Oregon,1954
iov,0.77,Washington,2016
iow,0.72,Missouri,1923
ipa,0.51,Mississippi,2013
ipd,0.48,Georgia,1932
ipe,0.61,Wisconsin,1948
ipg,0.5,Pennsylvania,1942
iph,0.75,Vermont,1913
ipk,0.27,Massachusetts,1960
ipl,0.01,Texas,1931
ipp,0.51,Texas,1952
ips,0.16,Wyoming,1968
ipt,1.0,Arizona,1904
ipu,1.0,Texas,1906
ipv,0.64,Montana,2006
ipw,0.62,Rhode Island,2015
ipx,0.94,Vermont,1958
iqi,0.32,Michigan,1990
iqj,0.8,Arkansas,1943
iql,0.92,New Jersey,1900
iqm,0.42,Nebraska,1971
iqo,0.54,Missouri,1917
iqt,0.93,Washington,1943
iqu,0.33,Iowa,1936
iqw,0.11,Missouri,1975
iqx,0.46,Kentucky,1939
irc,0.53,Illinois,1990
ird,1.0,Georgia,2022
irf,0.83,South Carolina,2010
irg,0.74,Wisconsin,1942
irh,0.95,Utah,1975
irj,0.89,Alabama,2009
irl,0.87,Utah,1928
iro,0.43,Missouri,1991
irr,0.33,Wyoming,1985
irt,0.83,New Mexico,1944
iru,0.38,South Dakota,1929
irv,0.41,Hawaii,2015
irx,0.91,Utah,2004
iry,0.19,Indiana,1902
isa,0.84,Mississippi,1992
isc,0.13,North Dakota,1922
isf,0.64,South Carolina,1920
isg,0.73,Texas,1939
ish,0.2,South Dakota,1934
isk,0.67,Wyoming,1928
ism,0.02,Mississippi,2009
isr,0.68,Delaware,1902
isv,0.74,Idaho,1961
isx,0.19,Utah,1911
itf,0.69,Pennsylvania,1997
itj,0.86,Ohio,1955
itk,0.39,Iowa,1942
itm,0.72,California,1983
itn,0.25,Kansas,1924
ito,0.7,Mississippi,2022
its,0.36,Arkansas,1946
itt,0.82,Minnesota,1971
itu,0.86,California,1914
itw,0.19,Florida,1958
itz,1.0,Minnesota,1995
iua,0.99,Massachusetts,1927
iub,0.59,Iowa,2003
iuc,0.04,Nebraska,1950
iug,0.62,Kansas,1927
iuj,0.6,Iowa,1959
iuk,0.74,Maine,2014
iun,0.12,Alabama,1921
iup,0.92,Mississippi,1903
iur,0.81,Maine,2021
iva,0.9,North Carolina,1989
ivc,0.71,West Virginia,1933
ivl,0.88,Oklahoma,1980
ivo,0.23,Oregon,1968
ivr,0.21,Pennsylvania,1932
ivs,0.55,Connecticut,1996
ivu,0.8,Hawaii,2008
ivv,0.12,Hawaii,1972
ivw,0.84,Ohio,1964
ivx,0.2,Wisconsin,1956
iwa,0.82,North Dakota,1996
iwb,0.0,Iowa,1935
iwc,0.03,Montana,1963
iwj,0.72,Virginia,1976
iwl,0.43,Oklahoma,2012
iwm,0.66,Florida,1948
iwn,0.95,Arkansas,1950
iwr,0.87,Maryland,1913
iwt,0.66,South Carolina,1979
iwv,0.57,Missouri,1902
ixb,0.01,Minnesota,1946
ixf,0.59,Virginia,2005
ixh,0.87,Georgia,2020
ixk,0.59,Georgia,1979
ixm,0.96,Nebraska,1976
ixt,0.22,Maine,1987
ixy,0.88,Arizona,1954
iyc,0.44,Arkansas,2001
iyf,0.61,Georgia,1975
iyi,0.46,Indiana,1977
iyk,0.92,South Carolina,1931
iyl,0.23,Oregon,1964
iyp,0.27,South Carolina,1975
iyq,0.64,New York,1936
iyu,0.23,Florida,1903
izc,0.05,Montana,1900
ize,0.86,North Carolina,1998
izf,0.39,Tennessee,1987
izg,0.52,Illinois,1928
izi,0.75,Connecticut,1993
izq,0.83,North Dakota,1977
izr,0.45,Vermont,1932
izu,0.83,Georgia,1924
izv,0.24,Missouri,1915
izz,0.76,Michigan,1928
jaf,0.55,Louisiana,1934
jaj,0.15,Oklahoma,1972
jak,0.27,Indiana,1961
jap,0.39,Michigan,1950
jaq,0.69,Minnesota,1959
jar,0.11,Nevada,1922
jaw,0.1,Connecticut,1944
jax,0.18,Oregon,1949
jbb,0.16,Florida,1949
jbf,0.64,New Jersey,2003
jbi,0.11,New Jersey,1943
jbj,0.05,West Virginia,1900
jbo,0.34,Maine,1967
jbv,0.67,California,1915
jbw,0.22,California,1923
jbz,0.01,Illinois,1962
jca,0.39,Wyoming,1992
jcf,0.45,Iowa,1938
jch,0.26,Michigan,1948
jci,0.1,Indiana,2013
jcm,0.96,Massachusetts,1965
jcn,0.58,Connecticut,2008
jcq,0.55,Hawaii,1940
jcr,0.57,Virginia,1957
jcw,0.79,West Virginia,1996
jcx,0.83,Connecticut,1980
jdc,0.67,Tennessee,1991
jdh,0.64,South Carolina,1914
jdn,0.77,Alaska,1981
jdo,0.94,Wyoming,1985
jdt,0.78,Delaware,2012
jdu,0.08,Arizona,1926
jdw,0.21,Arkansas,1940
jdx,0.41,South Dakota,1974
jdy,0.52,Louisiana,1962
jec,0.87,Oklahoma,2014
jed,0.2,Kentucky,1988
jef,0.02,Texas,1942
jeh,0.74,Arizona,1956
jem,0.7,Missouri,1918
jen,0.88,Iowa,1978
jeo,0.49,Kentucky,1961
jer,0.44,Michigan,1914
jes,0.76,Missouri,1958
jev,0.36,California,1948
jex,0.37,Arizona,2010
jfc,0.38,Rhode Island,1900
jfe,0.14,Pennsylvania,1944
jfi,0.04,Maine,1932
jfo,0.97,Utah,2007
jfq,0.15,Iowa,1925
jfr,0.27,Oklahoma,2004
jfv,0.68,Montana,1904
jfx,0.5,Connecticut,1949
jgb,0.04,Virginia,1915
jgd,0.6,Vermont,1959
jgf,0.25,Washington,1948
jgk,0.22,Arizona,1976
jgm,0.42,California,2008
jgr,1.0,Massachusetts,2002
jgs,0.92,Colorado,1911
jgt,0.36,Illinois,1941
jgw,0.53,Ohio,1939
jgy,0.6,Vermont,1987
jgz,0.35,New Jersey,1964
jha,0.13,New York,1907
jhb,0.79,Arkansas,1963
jhe,0.42,Florida,1955
jhj,0.58,New York,1913
jhp,0.06,Nebraska,1968
jhs,0.34,New Jersey,2004
jhu,0.08,Ohio,1951
jhz,0.94,Wyoming,1910
jic,0.0,New Jersey,1914
jie,0.14,Arizona,1929
jif,0.35,Hawaii,1938
jik,0.34,Vermont,1913
jil,0.04,New Mexico,1991
jir,0.51,California,1985
jis,0.67,Oklahoma,1958
jiu,0.24,Wisconsin,1910
jjb,0.64,Alaska,1957
jjc,0.7,Georgia,1958
jjf,0.18,Hawaii,2009
jji,0.74,Oklahoma,1967
jjm,0.13,Colorado,2004
jjo,0.07,Nebraska,1992
jjp,0.63,Vermont,1917
jka,0.0,Kansas,1976
jkb,0.36,Oregon,1932
jkd,0.29,New Jersey,1914
jke,0.27,New York,1947
jkf,0.56,Georgia,1905
jkh,0.78,Idaho,1911
jkp,0.84,Missouri,1920
jkq,0.17,Montana,1997
jkr,0.07,Connecticut,2005
jku,0.67,North Dakota,1989
jkv,0.11,North Carolina,1938
jla,0.94,Louisiana,1986
jle,0.13,Idaho,1907
jlf,0.0,Arizona,1910
jlj,0.81,Maryland,2009
jll,0.76,Wyoming,1989
jlo,0.91,Connecticut,2007
jlq,0.37,Michigan,1921
jlr,0.42,Oregon,2021
jlt,0.14,Michigan,1990
jlw,0.69,Pennsylvania,2005
jmg,0.97,Illinois,2001
jmh,0.41,Idaho,2010
jmk,0.82,Arkansas,1999
jmo,0.54,Kentucky,1916
jmp,0.75,Rhode Island,1998
jmu,0.74,North Carolina,1987
jmw,0.28,Colorado,2005
jmx,0.83,Louisiana,1934
jmy,0.27,Wyoming,1983
jmz,0.43,South Dakota,1904
jna,0.92,North Carolina,2022
jnc,0.01,Colorado,1975
jnf,0.53,South Carolina,1901
jnm,0.55,Connecticut,1907
jnq,0.63,New Jersey,2000
jnt,0.65,South Dakota,1960
jnu,0.82,Iowa,2010
jog,0.15,Vermont,1992
joh,0.37,Hawaii,1915
joi,0.47,Maine,2015
joj,0.68,Virginia,1946
jok,0.94,Nebraska,2014
jol,0.82,Florida,1995
jon,0.79,Oklahoma,1995
joo,0.19,Missouri,1921
joq,0.16,Tennessee,1911
jou,0.56,Ohio,1949
jov,0.46,Arizona,2003
jox,0.73,Wisconsin,1914
joy,0.37,Tennessee,1904
jpa,0.64,Louisiana,2018
jpb,0.74,Kentucky,1951
jpe,0.44,New Mexico,1941
jpf,0.52,Louisiana,1919
jpk,0.28,Alaska,1902
jpm,0.2,Oregon,1902
jpn,0.57,Pennsylvania,1974
jpo,0.09,New Hampshire,1920
jpr,1.0,Iowa,2008
jpu,0.0,Rhode Island,1919
jpw,0.6,New York,1996
jpy,0.39,Nebraska,1939
jqa,0.82,Maryland,1925
jqb,0.23,Arkansas,1942
jqc,0.75,Idaho,1923
jqe,0.36,North Dakota,2019
jqf,0.0,Iowa,2001
jqi,0.61,Minnesota,1908
jqk,0.05,California,1992
jql,0.82,Louisiana,1949
jqn,0.51,North Dakota,1927
jqo,0.73,Arkansas,1947
jqv,0.4,California,1967
jqw,0.98,Florida,1908
jqy,0.65,Alabama,1912
jqz,0.85,Alabama,1904
jra,0.65,Louisiana,1992
jre,0.98,Florida,1970
jrf,0.29,Texas,1931
jrg,0.04,Alaska,2002
jrl,0.66,Texas,1950
jrn,0.16,Kentucky,1902
jro,0.45,North Carolina,1913
jrq,0.85,Florida,1998
jrs,0.31,Alabama,1992
jrz,0.19,Arizona,1904
jsc,0.75,New Hampshire,1967
jsd,0.71,New Mexico,1944
jsg,0.77,Minnesota,2009
jsj,0.1,Connecticut,1975
jsu,0.86,Florida,1980
jsw,0.62,Washington,1982
jtd,0.26,Oklahoma,1986
jti,0.2,Mississippi,2012
jtl,0.79,Montana,1957
jtq,0.32,Michigan,1940
jts,0.52,Texas,2022
jtu,0.01,Nevada,1944
jtv,0.72,Tennessee,1989
jty,0.01,Mississippi,2023
jud,0.76,Hawaii,1961
juf,0.26,Connecticut,1948
jui,0.21,Oklahoma,2021
jur,0.69,Arkansas,1996
jut,0.82,Arkansas,1987
juu,0.48,North Carolina,1991
juv,0.27,Minnesota,1932
juw,0.48,Utah,1933
jux,0.15,Illinois,1971
juy,0.69,New Mexico,1912
jvb,0.83,Virginia,1998
jvd,0.0,Arkansas,1908
jvf,0.78,Illinois,2011
jvj,0.45,Michigan,1918
jvk,0.77,Minnesota,2015
jvq,0.89,Ohio,1940
jvs,0.81,North Dakota,1948
jvx,0.34,Colorado,1954
jvz,0.45,Iowa,1935
jwd,0.94,Colorado,2020
jwh,0.45,Alaska,2003
jwj,0.16,Minnesota,1964
jwl,0.78,South Dakota,1962
jwm,0.34,Ohio,1916
jwr,0.98,Nebraska,1968
jwt,0.61,Iowa,1946
jwu,0.27,Wyoming,1948
jwx,0.38,Massachusetts,1953
jwz,0.39,South Carolina,1922
jxb,0.99,Connecticut,1931
jxi,0.35,Connecticut,1910
jxk,0.03,Georgia,1914
jxl,0.99,Idaho,1931
jxm,0.94,Iowa,1916
jxp,0.52,Virginia,1949
jxt,0.63,Maryland,1973
jxu,0.47,Massachusetts,2008
jxv,0.7,West Virginia,2003
jxx,0.52,Nevada,2014
jya,0.1,Alaska,1907
jyc,0.59,Maine,1902
jyg,0.39,New Hampshire,2018
jyj,0.71,New Jersey,1943
jyk,0.82,Georgia,1940
jyl,0.21,South Dakota,1926
jym,0.96,Oregon,1926
jyn,0.55,South Carolina,1939
jyo,0.41,New Jersey,2002
jyr,0.1,Ohio,1926
jyw,0.05,South Dakota,1906
jyx,0.74,Vermont,1949
jyy,0.32,Wyoming,1931
jyz,0.7,Arizona,1933
jza,0.01,Missouri,1953
jzd,0.03,Virginia,1901
jze,0.59,Delaware,1992
jzh,0.69,South Dakota,1996
jzi,0.02,Arkansas,1949
jzj,0.9,Indiana,1954
jzr,0.19,Nevada,1987
jzt,0.71,Nebraska,1980
kab,0.15,Iowa,1911
kac,0.76,Arkansas,1909
kad,0.42,Delaware,1930
kae,0.15,North Dakota,2015
kai,0.73,Mississippi,1979
kal,0.49,Iowa,2022
kam,0.15,Missouri,1904
kan,0.22,Texas,1999
kas,0.22,Nevada,2006
kax,0.54,Oregon,1920
kaz,0.85,Oregon,1952
kbe,0.56,Massachusetts,1959
kbi,0.5,Vermont,1911
kbj,0.84,Rhode Island,1963
kbn,0.18,Montana,1902
kbo,0.77,Georgia,1997
kbp,0.73,Wyoming,1939
kbv,0.4,Arkansas,1964
kbz,0.37,South Carolina,1914
kca,0.27,Alaska,1942
kcb,0.81,Idaho,1960
kcd,0.06,Colorado,2002
kch,0.41,North Carolina,1907
kci,0.13,Illinois,1945
kcj,0.84,Tennessee,2014
kck,0.78,Maine,1955
kcp,0.58,West Virginia,1994
kcs,0.09,Kentucky,2015
kct,0.83,Montana,1954
kcu,0.93,Michigan,2004
kcx,0.85,New Mexico,1917
kde,0.08,New York,2013
kdh,0.23,Idaho,1902
kdj,0.69,North Carolina,1964
kdk,0.27,Kansas,1989
kdn,0.37,Minnesota,1973
kdp,0.63,Indiana,1957
kdq,0.32,Massachusetts,1915
kdu,0.8,Nevada,1922
kdw,0.31,New Mexico,2012
kdx,0.31,Maryland,1939
kdz,0.73,Utah,1992
kea,0.5,New Hampshire,1911
keb,0.19,Colorado,1920
ked,0.38,North Dakota,1917
kei,0.81,Missouri,1986
kej,0.37,Missouri,1945
kek,0.91,Ohio,1956
kel,0.42,Rhode Island,2023
kep,0.23,Montana,1931
keq,0.52,Illinois,1955
kes,0.99,Wisconsin,1989
kev,0.04,Connecticut,1951
kew,0.03,Michigan,1969
kex,0.92,Oregon,2023
kfa,0.13,Nevada,1927
kfb,0.44,North Carolina,1981
kfd,0.55,New Jersey,1995
kfi,0.01,Arizona,1902
kfl,0.1,Missouri,2005
kfm,0.05,Maine,1922
kfn,0.28,Maine,2014
kfp,0.93,Delaware,1937
kfq,0.54,Illinois,1951
kft,0.54,North Carolina,1983
kfv,0.0,Michigan,1953
kfw,0.1,North Carolina,1982
kgb,0.73,North Dakota,1991
kgc,0.22,New Jersey,1900
kgg,0.42,New Jersey,1944
kgj,0.25,South Dakota,1954
kgl,0.77,Florida,1998
kgn,0.22,Massachusetts,1911
kgo,0.91,Virginia,2000
kgp,0.81,California,1994
kgq,0.8,New Hampshire,1961
kgt,0.99,Oregon,1967
kgv,0.21,Nevada,1983
kgx,0.83,West Virginia,2002
kgy,0.04,Washington,1997
kha,0.58,Tennessee,2004
khb,0.94,Minnesota,1911
khc,0.03,North Carolina,2012
khd,0.47,Alaska,2010
khe,0.86,Missouri,1950
khg,0.49,Oregon,1937
khl,0.14,South Dakota,1943
khs,0.81,New Hampshire,1916
khv,0.47,South Dakota,1926
khy,0.42,Maryland,1989
kia,0.99,Indiana,1927
kig,0.3,Alaska,2016
kih,0.4,New York,2008
kij,0.86,Massachusetts,1992
kim,0.03,Ohio,1999
kir,0.33,New Jersey,1959
kis,0.21,Oklahoma,1958
kiv,0.95,New Mexico,1978
kiy,0.3,Colorado,1948
kiz,0.91,Vermont,1946
kja,0.19,Florida,1977
kjb,1.0,Oregon,2019
kje,0.3,Arkansas,2006
kjg,0.47,Arkansas,1995
kjj,0.44,Nebraska,1919
kjm,0.9,Alabama,1987
kjo,0.79,Nebraska,2021
kjp,0.07,Texas,1964
kjr,0.26,Iowa,1906
kjs,0.39,Maryland,1946
kjw,0.42,California,1976
kka,0.01,Kansas,1907
kkb,0.21,West Virginia,1957
kkj,0.59,Maine,1981
kkm,0.99,Maryland,2000
kkn,0.33,Arizona,2009
kkq,0.97,South Dakota,1931
kks,0.28,Vermont,1903
kkt,0.34,South Dakota,1964
kkw,0.46,Texas,2006
kky,0.58,New Hampshire,1923
klc,0.88,Illinois,1981
kle,0.73,Alaska,2001
klf,0.4,West Virginia,1998
klh,0.84,Alaska,1920
klj,0.95,South Carolina,2012
klk,0.71,Wyoming,1907
klm,0.07,Hawaii,1960
kln,0.4,Idaho,2008
kls,0.86,Washington,1957
klt,0.13,Maryland,2001
klu,0.11,Arizona,1995
kma,0.1,Minnesota,1946
kmc,0.04,Kansas,2017
kmh,0.43,Michigan,2008
kmi,0.64,Oregon,2006
kmj,0.28,Connecticut,1946
kmk,0.72,Washington,1968
kml,0.16,Arizona,1910
kmn,0.36,Connecticut,2023
kms,0.13,Florida,1923
knf,0.16,Maine,2001
knh,0.71,Florida,1967
